Index,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1,7,0,2,0,1,1,23,8,11,11,7,3,2,5,2,1,15,11,1,2,5,2,9,7,5,11,7,1,1,0,14,4,0,14,9,13,4,8,2,24,1,9,5,1,4,4,11,5,4,1,7,3,2,6,8,7,3,8,8,1,15,24,3,13,21,0,7,5,4,10,1,9,14,8,24,2,1,11,4,14,10
2,5,9,12,0,4,2,0,2,3,0,22,12,2,14,4,6,3,12,10,18,6,0,0,12,7,0,3,1,12,25,0,2,1,5,9,2,13,1,5,8,13,5,4,4,0,0,5,9,9,1,5,6,3,5,5,3,4,0,3,10,4,2,24,11,3,4,0,10,7,0,2,1,5,6,7,9,0,14,4,3,16
3,10,11,5,2,2,5,3,3,2,0,3,4,2,5,5,2,0,4,8,5,1,2,0,4,6,6,4,22,5,6,2,2,15,7,7,8,5,13,0,13,0,11,15,7,2,1,5,3,2,5,0,4,17,10,16,8,7,3,23,14,1,5,10,8,12,2,0,6,2,13,8,0,0,2,0,14,1,13,8,4,23
4,1,0,3,4,5,4,14,1,6,9,7,11,38,4,14,1,5,7,29,12,5,4,6,9,8,2,6,0,1,7,8,2,1,13,8,2,1,4,2,21,6,0,6,6,30,2,4,1,4,1,4,5,0,21,14,14,9,11,0,7,2,6,7,2,4,15,11,3,4,16,4,6,18,10,2,6,9,0,0,10,30
5,0,6,13,24,3,9,3,7,3,9,0,6,2,2,10,0,8,5,4,1,14,2,4,3,0,5,13,0,26,4,8,0,9,4,3,7,2,1,7,9,21,6,8,3,6,7,5,8,5,11,15,1,44,4,11,8,0,8,3,1,2,3,7,17,1,4,1,7,4,10,1,6,7,8,8,10,0,7,2,7,7
6,10,9,4,4,8,0,2,7,7,10,8,0,33,2,28,3,9,21,21,0,9,0,6,0,2,7,14,6,21,0,1,7,13,7,13,4,8,1,0,1,2,5,7,0,4,13,6,16,4,1,9,9,7,2,7,0,4,6,0,0,7,1,6,6,11,18,25,5,8,5,19,4,4,1,6,4,7,9,9,16,6
7,15,16,4,1,1,2,2,3,1,0,15,8,17,0,0,0,18,3,0,3,1,7,2,4,6,3,17,2,11,1,0,0,7,2,3,9,11,3,6,14,9,10,9,2,0,9,3,22,1,3,3,28,5,15,5,11,1,3,8,2,11,0,1,7,40,2,29,2,0,6,2,0,6,27,4,11,1,8,4,12,5
8,0,3,3,3,4,12,3,7,1,1,7,2,9,13,0,2,4,3,12,11,2,13,17,1,14,11,2,4,0,6,8,4,7,15,1,1,8,4,1,0,9,2,8,1,9,0,9,5,12,3,20,19,8,8,0,2,4,2,12,3,23,4,7,1,23,3,3,2,2,1,3,9,8,21,2,0,12,2,24,2,1
9,5,13,4,3,3,15,3,2,8,1,8,21,13,2,2,14,0,4,16,4,25,9,11,0,1,1,5,29,9,1,4,4,7,14,1,12,2,0,17,6,7,9,1,1,2,0,5,4,16,10,2,13,1,6,7,4,5,3,5,9,5,6,13,8,1,2,8,2,1,37,4,5,33,3,9,0,2,0,9,4,18
10,16,1,0,2,9,6,2,2,2,20,2,1,6,4,10,4,19,1,17,0,9,10,5,8,5,1,6,2,6,2,10,4,14,19,6,15,2,20,8,1,5,5,30,12,14,12,0,6,8,6,23,0,2,8,14,5,8,4,2,0,2,3,3,0,5,12,3,8,1,2,2,11,0,13,26,7,5,1,14,2,5
