Index,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1,0,2,0,0,5,0,3,0,5,0,0,1,2,0,0,2,5,0,2,0,1,2,1,0,1,0,1,0,1,1,1,5,3,1,3,1,0,0,4,1,1,0,6,0,0,4,1,3,0,1,2,0,4,0,1,1,0,1,0,1,6,0,1,1,8,0,0,0,1,5,2,4,1,0,1,0,0,0,1,5,0
2,0,0,0,0,1,1,1,0,1,1,4,1,3,1,1,1,1,3,0,0,2,0,0,1,0,1,0,0,2,2,4,8,2,1,3,1,2,0,2,2,0,1,5,1,1,1,0,4,1,1,0,2,4,5,0,0,4,1,0,2,1,0,2,0,0,0,0,1,4,1,0,1,2,0,4,0,0,0,2,1,2
3,1,1,0,0,3,0,0,1,0,2,1,3,1,0,0,0,1,2,1,0,6,0,3,0,1,0,3,0,2,1,0,4,1,1,2,0,0,1,0,1,6,0,3,7,0,0,0,0,0,3,2,0,0,0,4,1,3,4,3,0,0,0,3,5,1,0,1,1,3,1,1,0,2,0,0,4,0,4,0,2,1
4,0,8,1,1,2,5,0,0,0,5,1,4,3,1,1,8,1,0,4,0,2,0,2,1,1,10,3,3,7,1,2,0,4,1,1,1,3,0,3,2,1,0,1,11,1,1,0,0,2,3,1,1,3,0,0,0,1,4,5,0,0,2,5,7,0,8,0,0,0,2,1,3,2,0,1,0,1,5,1,0,3
5,0,0,0,1,0,0,8,0,1,0,0,2,6,0,0,1,1,0,2,3,2,0,0,1,2,0,7,3,4,2,0,1,3,4,2,1,1,0,4,0,2,0,7,1,0,0,0,3,3,0,2,1,4,2,1,8,0,2,0,0,1,3,0,0,7,1,3,6,3,4,3,10,0,0,0,0,1,0,0,1,2
6,3,6,3,2,1,0,1,1,1,2,3,0,0,1,0,0,0,0,8,3,8,4,0,1,0,1,1,2,0,6,5,2,0,0,0,7,5,3,0,0,3,0,1,0,3,0,0,2,8,0,1,6,6,1,0,7,0,0,4,2,2,2,0,5,1,2,3,0,1,0,0,8,0,0,6,5,0,1,2,0,0
7,0,0,0,2,0,0,3,3,0,0,4,1,0,0,1,2,1,0,2,1,1,0,1,2,1,1,0,1,1,3,5,2,0,0,0,1,2,3,0,5,0,0,4,1,3,2,1,3,0,1,5,1,1,0,2,1,0,4,3,3,4,2,4,1,0,2,2,0,2,4,0,2,4,1,2,0,2,7,4,0,0
8,2,3,6,0,0,1,2,1,2,0,3,4,1,1,9,0,0,6,0,0,1,1,1,1,1,0,0,1,2,1,3,3,0,2,4,0,0,0,3,0,0,1,4,7,0,1,1,2,2,2,0,2,2,0,1,3,0,1,0,0,1,4,0,2,2,0,1,0,1,2,1,1,0,1,1,0,5,1,5,0,2
9,0,4,0,4,0,5,1,2,1,0,5,1,4,0,6,1,0,1,0,1,0,1,3,3,1,1,2,1,4,1,0,0,0,5,0,8,0,0,1,0,6,0,1,2,1,0,3,1,2,3,7,1,0,2,4,0,3,0,0,0,1,1,4,2,3,0,0,2,1,0,0,1,3,4,3,3,1,3,0,0,1
10,1,2,3,1,0,5,0,9,0,4,3,3,1,1,1,0,0,3,4,0,0,0,1,3,1,0,1,1,3,2,2,0,0,4,4,2,2,0,1,3,6,3,6,1,0,1,0,2,0,1,0,1,0,7,0,0,1,0,1,0,1,7,1,2,1,5,1,1,0,0,0,0,1,2,0,6,2,1,1,3,0
11,0,5,3,5,5,2,7,3,1,1,1,1,0,0,3,1,0,2,5,5,2,1,0,0,3,1,4,0,2,2,0,2,0,1,0,0,0,0,5,1,8,5,3,0,0,0,0,2,2,3,0,4,4,1,1,0,0,1,0,1,1,0,0,0,1,5,0,2,2,1,3,1,1,0,0,2,0,0,1,0,0
12,2,1,1,0,8,3,4,0,7,0,1,1,0,2,0,0,0,6,1,0,0,0,1,6,0,6,1,1,0,4,6,3,0,0,3,4,0,1,0,1,2,3,2,4,0,1,1,0,4,0,0,1,3,2,0,1,1,6,0,0,0,1,0,0,3,0,0,5,3,0,2,0,0,0,2,0,1,0,0,2,4
13,0,0,0,1,3,3,3,2,0,3,2,0,2,0,0,0,1,3,3,3,3,3,0,1,2,0,0,1,1,0,7,0,4,0,0,2,1,0,2,0,1,2,0,0,1,1,0,3,2,6,1,2,0,0,6,0,0,4,0,4,7,0,0,1,1,3,5,2,1,1,2,1,0,0,6,1,0,0,0,2,0
14,0,0,5,0,4,7,0,1,1,2,1,0,2,0,2,1,0,0,2,1,0,0,0,0,0,2,2,0,2,3,6,1,2,0,1,4,3,0,5,5,3,3,5,0,3,10,3,0,0,0,2,0,2,2,0,3,3,1,0,0,7,1,0,2,2,1,0,0,0,5,0,0,0,4,0,5,1,5,0,0,5
15,0,3,1,0,1,5,0,2,0,2,1,0,1,0,0,5,4,7,2,0,0,4,0,8,0,0,4,2,2,1,3,0,0,0,7,3,0,0,0,2,1,0,1,2,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,3,1,0,1,1,1,6,1,2,2,4,0,3,3,4,4,4,0,2,1,0,0
16,1,3,2,3,4,1,0,3,0,0,0,2,2,0,4,1,0,1,4,0,1,3,0,1,1,7,0,0,0,0,11,3,2,0,1,0,1,4,3,2,2,0,0,2,3,3,3,1,1,2,1,0,1,0,1,1,5,2,10,0,0,0,1,0,2,0,4,2,0,1,0,1,2,1,5,2,3,9,4,4,1
17,0,0,0,6,0,2,0,0,1,0,0,0,0,1,1,5,1,0,9,0,1,5,5,1,0,0,0,1,0,1,0,4,1,0,0,0,6,0,0,0,0,1,0,0,1,2,1,1,3,4,2,1,1,4,1,9,2,7,15,1,3,2,0,0,0,6,3,1,1,6,6,3,0,2,2,1,1,5,3,0,1
18,2,0,0,5,0,3,3,1,1,1,2,1,0,1,0,5,1,1,0,8,4,2,1,0,3,3,0,2,3,4,2,0,0,1,6,0,2,9,3,0,3,2,1,4,2,0,0,0,2,0,2,1,1,3,4,3,3,2,2,7,5,0,1,2,1,2,0,2,3,0,0,6,1,4,1,1,0,6,4,4,0
19,5,1,0,0,3,3,1,1,1,0,3,6,3,4,0,1,1,0,1,1,1,5,4,8,0,0,1,0,0,1,6,1,0,1,2,5,6,0,0,4,2,1,4,0,0,2,0,1,0,4,0,6,5,1,2,1,3,3,4,4,1,3,1,0,1,6,2,0,1,1,2,0,3,8,0,1,0,0,2,0,0
20,5,0,2,0,1,1,1,0,0,5,1,0,2,5,3,3,3,7,1,0,1,0,0,0,11,2,2,1,1,0,0,4,0,4,2,2,5,0,1,0,0,1,0,1,6,4,0,0,1,0,1,2,2,0,0,1,0,6,1,3,1,1,3,0,0,1,0,1,2,2,2,0,2,4,5,1,0,2,2,5,3
21,1,3,2,2,1,1,8,3,0,0,0,1,0,0,4,1,2,0,6,2,3,0,2,4,0,2,1,0,1,0,4,0,0,0,0,0,4,0,2,4,3,1,2,2,4,1,2,7,4,1,6,0,0,4,1,0,0,4,0,1,0,0,1,3,7,1,4,0,4,1,1,0,1,3,0,0,5,1,0,1,0
22,4,0,1,8,1,13,0,0,0,0,1,1,3,0,0,1,1,4,0,1,0,9,0,0,1,0,0,0,0,2,5,2,0,2,0,1,1,3,1,4,4,1,0,5,1,3,2,0,4,0,3,1,0,3,7,13,1,1,11,0,0,0,1,1,1,1,4,0,1,0,5,0,0,3,0,3,0,3,4,1,1
23,11,1,0,2,1,3,0,0,5,0,1,0,2,0,1,2,6,0,1,7,0,0,0,0,1,3,0,1,3,2,0,1,0,4,1,1,1,0,1,3,0,1,0,4,1,0,0,2,1,0,2,0,7,0,1,5,2,1,1,0,0,0,2,1,0,6,2,1,0,7,2,0,0,2,2,4,0,0,1,0,0
24,0,0,4,3,6,0,1,1,1,1,1,0,0,0,3,0,0,3,0,3,7,0,1,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,1,1,9,4,0,6,0,0,0,0,0,3,2,6,2,8,1,0,2,1,1,0,0,1,2,2,2,0,0,1,2,6,8,0,2
25,1,0,3,3,1,0,0,0,3,0,0,3,1,3,1,2,0,0,0,1,0,0,4,0,0,1,4,2,3,5,3,6,3,2,3,0,0,1,1,4,0,14,2,1,2,1,1,2,4,2,3,1,0,0,0,0,1,0,2,4,4,5,0,3,2,0,1,2,4,3,5,2,5,0,5,1,1,0,0,0,1
26,0,7,1,2,0,4,2,0,0,3,1,1,0,0,0,5,3,0,4,3,2,2,3,0,0,0,1,0,3,0,0,0,0,4,2,2,1,0,2,1,11,1,4,3,0,0,0,8,7,0,0,2,2,1,3,4,2,2,1,0,8,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,4,3,2,2,1
