Index,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1,0,15,8,8,11,1,8,3,1,1,32,2,16,2,4,17,3,0,0,6,1,0,28,22,1,1,42,12,7,38,2,6,15,2,26,32,6,2,11,3,27,0,15,36,17,10,14,6,9,29,3,29,17,21,4,35,19,10,5,4,7,14,26,5,0,0,2,3,32,32,4,1,45,6,15,2,13,10,8,2,6
2,2,6,0,3,29,13,15,6,2,61,1,4,8,1,9,35,0,13,0,21,8,9,0,13,11,9,2,0,2,1,14,2,32,19,3,5,2,1,13,0,2,0,17,10,5,13,2,3,17,18,15,10,1,5,9,26,3,19,14,10,5,30,15,12,11,3,3,15,1,49,20,13,12,31,12,0,4,2,13,7,11
3,0,3,2,5,11,2,5,3,14,1,1,23,11,0,5,31,1,1,0,11,0,2,0,1,11,3,17,1,32,22,10,1,15,0,5,11,12,6,2,0,0,14,17,4,4,2,3,1,49,1,2,3,13,3,8,0,15,4,1,7,0,18,0,25,8,48,7,0,61,28,2,11,4,2,27,0,6,9,38,22,0
4,12,4,7,12,46,3,19,3,30,0,20,18,7,0,7,0,15,2,1,0,6,0,19,1,3,12,16,14,0,11,3,10,19,8,0,4,18,1,15,1,9,9,4,2,0,6,1,9,2,45,0,10,38,1,11,18,3,5,1,2,9,7,7,3,7,1,3,2,27,0,1,46,4,10,0,5,3,18,2,2,49
5,3,10,15,0,8,0,10,11,1,16,2,11,10,13,0,8,6,3,9,49,5,11,0,20,0,3,6,5,3,14,2,21,10,0,11,2,6,39,1,3,5,10,8,1,24,1,7,3,39,9,4,1,14,7,16,6,24,2,8,0,3,1,75,0,9,2,1,22,4,1,8,0,9,0,4,3,12,15,35,3,7
6,6,8,1,25,2,7,1,0,0,22,17,0,3,5,1,4,0,9,11,27,20,2,22,14,3,4,5,1,9,15,3,0,0,1,0,2,21,11,0,0,17,3,0,12,2,1,3,5,10,0,8,0,0,3,7,5,11,0,7,4,3,8,3,5,0,6,0,4,11,0,2,8,4,0,1,2,2,5,10,0,0
7,0,9,2,5,8,16,16,34,10,0,2,6,0,4,27,3,1,4,12,14,1,0,7,1,14,1,27,6,0,0,14,1,31,13,1,36,11,17,31,14,14,63,24,10,16,39,13,29,2,5,3,7,1,0,19,2,0,7,9,0,2,1,1,7,39,10,1,18,14,8,4,4,39,4,6,3,5,21,1,0,0
8,16,7,2,5,2,9,58,19,7,10,7,0,0,0,1,0,78,13,7,0,9,5,0,0,37,15,31,6,10,0,0,4,2,2,4,7,4,27,6,5,1,0,0,10,0,3,17,3,10,20,0,2,3,35,2,1,17,1,1,2,0,9,20,45,4,0,6,1,5,53,2,9,2,14,11,1,10,0,3,12,13
9,20,11,4,7,21,11,3,5,0,5,0,9,15,4,6,32,37,1,36,2,8,2,17,0,0,1,1,1,1,0,20,2,12,3,8,1,29,14,23,0,2,8,24,0,0,1,0,3,1,7,1,11,0,13,26,1,7,0,2,16,1,9,6,0,24,12,0,7,0,4,5,16,0,2,3,1,6,22,0,21,15
10,0,14,15,38,0,7,11,84,11,0,2,15,1,18,26,4,1,68,23,1,0,10,2,0,16,7,15,1,5,0,28,22,1,24,38,23,19,72,1,1,0,2,5,8,3,6,9,2,7,0,1,18,37,6,0,1,10,0,5,18,4,8,3,1,1,1,38,2,0,0,13,13,4,26,1,8,22,30,2,2,20
11,2,3,0,12,31,3,10,10,4,25,3,10,4,1,21,6,3,1,5,2,1,5,0,17,3,2,17,50,5,27,0,32,5,19,21,0,7,8,7,0,6,31,28,0,15,0,9,0,3,5,48,1,2,2,12,9,0,67,39,0,2,7,4,3,0,15,0,0,0,5,6,0,1,7,16,10,1,24,2,0,36
12,3,6,27,17,10,0,7,0,3,2,0,3,1,25,12,3,1,0,0,18,6,42,9,15,1,26,7,16,0,30,6,6,17,4,1,4,11,21,0,3,7,2,0,32,3,4,2,5,0,3,7,45,15,7,1,3,6,11,7,6,17,5,6,25,3,3,7,2,1,0,0,3,2,0,0,12,4,28,5,0,3
13,62,0,30,69,46,56,17,0,28,16,3,12,16,40,14,0,1,11,1,24,10,11,0,9,1,12,5,3,12,0,0,8,12,6,1,26,4,2,0,18,0,2,2,7,0,12,0,4,24,13,2,19,17,5,1,17,7,7,8,19,1,7,0,8,1,6,0,5,1,14,15,4,10,10,1,7,4,48,1,1,32
14,11,5,1,7,15,0,0,7,3,14,11,24,0,16,0,7,7,1,7,9,8,3,0,1,3,0,12,8,12,54,3,60,3,1,7,0,0,0,8,47,1,11,12,39,14,0,10,18,24,1,17,15,0,6,0,2,11,5,1,1,34,1,5,81,1,9,15,10,1,0,2,7,1,37,5,42,8,24,13,31,13
15,6,1,10,2,7,0,26,0,15,0,42,29,0,37,0,20,42,2,21,2,9,0,0,5,22,12,18,9,3,28,0,0,47,1,24,8,0,19,27,8,1,6,1,6,19,15,14,0,0,0,25,7,16,27,0,15,3,5,0,33,0,29,0,7,2,6,0,15,20,14,0,1,16,8,2,34,1,3,0,22,24
16,0,3,11,5,1,22,2,18,49,12,10,3,14,18,19,3,1,1,16,0,8,6,0,0,8,40,25,0,3,13,14,2,4,2,22,15,2,26,2,4,3,44,23,19,0,17,1,0,0,25,0,1,35,31,26,6,6,41,21,27,1,0,6,1,4,2,13,10,6,28,29,1,0,5,5,0,15,6,0,0,6
17,0,3,8,7,0,3,12,7,2,21,1,4,1,11,0,13,2,0,7,14,3,35,71,1,11,0,17,1,9,4,51,1,0,16,0,0,10,1,21,0,10,29,2,1,12,4,2,0,20,30,3,20,24,2,15,1,17,1,19,19,0,3,13,4,50,16,0,11,24,3,17,1,15,11,6,1,3,5,23,12,22
18,7,6,0,18,16,27,5,15,9,27,19,1,5,1,1,9,19,13,0,1,19,12,7,8,1,0,4,2,10,2,25,0,0,6,2,4,1,0,0,4,7,9,3,3,20,1,1,2,22,8,41,6,39,8,0,20,5,15,0,12,19,7,8,2,37,11,55,20,22,53,7,4,7,1,12,18,29,6,18,6,0
