Index,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1,7,1,7,14,3,11,19,1,3,10,5,2,5,9,10,6,6,8,2,3,1,5,5,8,5,6,7,0,8,9,7,6,0,11,3,8,3,3,12,14,5,4,8,4,13,1,8,0,5,24,4,10,6,6,20,17,9,5,14,23,4,12,1,0,5,8,2,8,8,5,11,12,22,14,13,7,5,6,7,14,8
2,7,11,6,18,16,5,0,11,2,8,0,3,2,0,10,3,6,5,5,20,10,7,1,10,2,9,12,5,3,2,0,1,18,3,2,8,4,6,1,1,8,0,19,6,5,0,1,3,2,14,4,1,13,6,5,16,27,17,0,6,10,9,9,7,13,3,3,8,8,6,5,4,9,11,10,12,5,12,1,1,4
3,4,16,4,31,1,5,1,13,8,21,3,3,1,15,2,2,2,8,6,7,17,9,4,9,10,17,5,6,4,5,19,3,5,0,8,9,12,7,10,10,20,4,22,2,2,3,9,11,0,32,17,16,17,18,2,4,1,5,6,12,4,6,10,0,1,14,18,5,15,2,6,2,1,11,3,1,1,8,22,6,3
4,3,5,5,1,6,10,7,16,5,15,14,7,0,5,1,3,6,5,5,6,7,1,2,16,14,6,2,8,1,4,4,20,2,1,15,5,1,8,9,23,4,15,4,4,4,2,3,4,9,4,6,11,3,2,5,6,12,8,6,11,4,12,11,19,2,4,12,6,27,7,7,18,3,5,8,7,22,1,5,6,3
5,6,4,13,4,9,10,4,4,7,3,7,3,7,8,4,13,12,3,11,8,0,10,8,0,3,14,1,4,19,7,1,6,0,2,10,7,11,0,4,6,13,4,3,8,2,0,7,15,7,5,2,6,6,2,14,9,13,6,11,0,1,2,1,0,7,6,1,4,18,7,8,9,11,1,6,13,2,9,2,0,1
6,18,17,11,8,7,4,2,6,1,1,12,7,0,11,1,7,15,1,4,6,18,22,2,5,8,13,5,5,7,14,1,11,8,2,5,1,13,6,14,7,6,30,4,3,5,1,8,12,4,6,6,1,3,2,2,2,13,1,5,7,5,10,8,9,2,8,16,0,1,12,15,0,7,18,2,8,0,2,0,4,17
7,16,6,1,9,13,4,1,8,10,3,6,4,6,10,4,2,11,9,6,2,6,7,13,8,5,24,7,9,9,3,8,2,27,3,14,4,3,11,2,12,5,2,8,23,7,4,17,9,6,0,18,10,5,1,6,10,8,3,8,11,1,1,1,3,5,5,9,19,4,16,8,15,7,6,8,1,3,14,7,13,7
8,4,7,1,1,0,12,7,15,27,15,2,0,19,7,0,7,12,6,1,4,9,1,1,5,5,11,4,25,21,6,18,12,8,11,6,11,5,3,11,21,6,3,5,4,9,4,17,5,3,2,15,8,4,8,5,7,9,16,1,6,0,5,7,2,6,2,4,3,3,10,7,23,6,9,2,0,18,10,8,8,5
9,3,5,11,30,0,10,5,4,13,36,4,3,13,2,4,2,3,5,3,3,4,6,28,3,16,7,7,3,10,10,3,2,0,9,8,4,12,14,2,6,3,5,7,10,9,8,6,0,19,5,14,4,4,1,7,7,4,9,1,9,4,12,31,10,5,3,0,6,3,16,2,5,8,7,11,3,18,1,2,4,0
10,6,6,22,4,4,7,9,4,12,5,5,1,0,6,3,10,9,4,11,6,7,2,0,9,14,3,9,1,6,5,11,7,4,5,2,9,3,3,4,2,8,0,0,2,6,16,23,3,2,23,14,9,9,6,14,3,3,1,3,14,2,1,3,5,15,5,9,24,6,2,14,1,2,4,4,15,4,3,4,8,6
11,0,4,8,7,9,5,0,4,22,2,11,8,8,7,0,0,1,0,1,9,0,3,11,13,7,3,10,0,8,3,3,10,12,4,6,4,14,14,3,6,9,7,3,14,9,3,11,1,10,9,6,14,8,5,2,4,7,11,12,12,5,9,19,4,6,3,11,10,5,11,1,3,1,13,10,5,10,7,13,6,4
12,7,10,5,8,17,6,5,11,7,3,7,3,11,5,13,4,2,14,12,9,7,5,4,5,9,9,6,16,6,4,10,3,7,7,7,10,10,1,11,12,16,8,5,8,7,1,12,8,19,8,6,23,4,5,13,4,21,13,7,1,8,3,18,10,5,3,1,6,5,5,4,3,4,5,3,7,11,2,1,1,10
13,6,6,23,1,15,1,13,4,6,5,7,1,0,13,10,0,11,8,3,3,3,4,15,11,1,13,15,7,11,12,6,4,1,6,19,9,10,1,21,5,16,7,2,14,0,10,1,1,19,10,10,0,8,13,5,3,5,9,1,2,1,11,4,3,3,7,6,9,6,2,3,3,6,0,4,0,28,12,9,11,0
14,9,0,7,12,8,6,2,3,9,2,2,4,5,8,0,5,10,4,5,6,0,1,2,11,2,6,5,5,5,20,5,7,9,3,6,1,12,0,4,6,10,7,6,4,5,16,5,4,4,3,4,0,3,13,21,6,6,9,8,17,25,3,4,4,4,9,11,3,1,19,11,15,15,7,2,1,22,16,3,3,7
