Index,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1,1,4,3,1,14,0,8,3,3,5,5,0,0,1,3,4,0,3,0,5,0,4,5,5,0,3,3,0,1,3,4,0,0,3,6,3,1,2,3,0,3,10,5,0,13,1,2,0,0,0,0,0,15,0,0,0,4,3,0,0,0,4,1,3,2,2,6,4,0,4,8,3,12,3,6,2,0,0,0,0,4
2,13,3,0,8,0,0,3,0,2,0,4,1,0,0,1,3,1,5,0,0,0,5,0,2,0,4,0,0,1,0,0,1,0,6,2,4,0,1,2,2,3,1,0,6,3,1,9,0,5,4,10,2,1,2,0,1,0,0,1,4,2,0,4,2,11,14,8,0,0,3,2,0,3,1,3,1,14,4,0,4,0
3,1,3,4,2,0,0,0,0,6,3,3,10,1,1,2,2,0,2,0,2,3,2,0,5,10,2,2,3,2,0,0,3,10,3,0,0,5,4,3,5,0,3,0,3,6,0,5,4,1,15,2,5,0,4,1,3,9,2,2,7,0,0,0,6,6,5,0,2,5,2,0,0,0,11,0,0,7,2,10,3,0
4,1,0,1,5,2,1,0,7,3,3,6,2,0,6,10,0,3,1,22,3,4,0,3,0,1,1,10,3,0,0,0,5,2,2,0,1,0,5,0,2,2,0,3,1,0,7,6,0,8,0,3,1,1,9,4,0,5,1,0,0,1,0,1,2,2,15,12,13,4,4,1,8,0,7,0,2,9,3,6,6,3
5,0,0,2,7,0,5,0,5,0,2,6,2,0,1,2,2,0,1,3,2,4,4,27,0,3,0,6,8,2,1,1,13,0,4,5,2,0,4,0,6,1,1,1,0,0,2,0,0,5,9,5,1,9,1,8,3,1,4,2,0,1,0,2,1,0,1,0,3,5,9,3,0,1,7,0,4,5,4,0,2,0
6,9,1,5,2,0,3,1,0,1,5,2,2,10,2,1,1,2,2,5,0,1,1,2,4,5,1,9,1,0,7,1,3,0,0,3,0,2,1,1,0,1,2,7,0,9,3,0,7,4,1,0,0,18,4,1,2,9,1,4,2,4,0,1,3,1,3,3,0,0,3,2,0,0,2,0,13,1,4,3,5,0
7,3,0,6,14,0,0,0,0,5,3,2,8,2,5,0,0,4,12,4,0,0,1,7,0,0,0,0,4,0,0,7,0,0,7,1,6,0,1,4,3,0,0,0,2,0,3,0,7,7,1,0,5,1,4,5,5,3,1,7,2,1,0,4,2,0,1,4,0,5,0,0,7,7,1,0,1,5,1,6,0,3
8,1,6,0,3,1,13,1,3,0,1,1,2,0,1,7,0,0,9,15,3,2,0,12,2,0,10,0,0,6,10,11,4,7,5,0,2,3,3,3,11,25,5,5,3,3,0,5,7,1,1,0,0,0,0,0,0,1,0,3,0,6,0,0,2,6,0,10,0,8,3,1,0,1,6,0,0,1,2,2,1,3
9,5,1,4,2,0,0,2,13,3,0,3,3,14,2,5,0,3,2,1,0,2,5,0,0,21,1,3,6,0,6,0,3,4,0,1,1,0,4,2,3,1,0,14,0,3,0,7,1,0,0,22,5,3,0,7,6,0,2,0,6,0,3,5,0,4,1,5,1,0,8,0,3,5,5,1,8,0,8,6,0,1
10,7,12,2,2,0,0,3,4,1,1,0,8,0,8,2,7,2,0,1,2,2,4,2,0,2,2,3,1,1,4,11,1,0,4,1,0,0,5,13,7,3,5,0,5,1,5,11,0,6,9,7,0,1,6,0,1,0,4,1,2,5,1,3,6,0,6,5,2,0,21,1,1,2,4,16,0,1,0,1,1,3
11,4,9,3,2,1,11,11,1,8,16,1,8,6,1,2,1,2,0,1,2,3,0,0,5,0,5,0,3,4,4,3,1,6,0,0,13,4,0,5,8,2,1,27,0,5,1,0,3,0,8,1,2,6,10,2,1,0,2,0,4,6,0,4,0,1,20,2,1,0,0,4,12,5,6,0,6,6,5,0,0,5
12,0,9,4,5,5,2,0,0,3,3,0,5,0,2,0,1,0,0,14,0,0,14,0,1,8,0,9,0,1,1,9,1,4,1,6,0,2,0,0,0,1,0,1,4,3,3,1,5,0,19,3,14,0,8,2,3,1,4,2,1,7,2,2,1,1,0,6,4,6,2,1,4,0,4,12,0,0,11,4,0,2
